title,fname,lname,review,stars,timestamp
How High We Go in the Dark,Alea,Page,DNF,1,1652898238790
How to Read Now,Alvin,Greene,My favorite book of all time,5,1678231514838
A Test of Wills,Angelica,Conner,More words than necessary,1,1706175126358
All Systems Red,Angelica,Conner,best ghost story I ever read.,5,1702781070100
Holly,Angelica,Conner,:),2,1692936067534
Magic for Liars,Angelica,Conner,I enjoyed this so much,4,1648661772547
Sea of Tranquility,Angelica,Conner,Could be better,1,1703021040694
Diaspora,Audra,Smith,Way too deep for me. Probably brillant. DNF,1,1649012979268
Encyclopedia Brown Solves Them All,Audra,Smith,Strongly recommend!,5,1658723137501
We Have Always Lived in the Castle,Audra,Smith,I’d give it three stars but there where to many misspelings.,2,1689012193785
Remarkably Bright Creatures,Audra,Smith,This book changed my life. I will always admire the octopus.,5,1710505396622
The Nineties,Audra,Smith,I lived it. This book was perfect for me. Probably not for you though.,5,1677311126530
Tomorrow and Tomorrow and Tomorrow,Audra,Smith,Brilliant. Hard to read in places. Sad. Touching. Moving.,5,1681039591221
Hercule Poirot's Silent Night,Aurelia,Hickman,better than no book,1,1695612688555
The Future of Another Timeline,Aurelia,Hickman,I’d give it three stars but there where to many misspelings.,2,1657178514193
To Say Nothing of the Dog,Aurelia,Hickman,Such a clever mystery,4,1704679541856
CUCKOO'S EGG,Aurora,Carrillo,Spooky but fun,4,1687993240179
Five Tuesdays in Winter,Aurora,Carrillo,DNF,1,1674302021753
Magic for Liars,Aurora,Carrillo,I really love this book,4,1689239811467
Red Paint,Aurora,Carrillo,DNF,1,1670456592919
A Haunting on the Hill,Barclay,Avila,DNF,1,1677214674923
Breathe,Barclay,Avila,I really love this book,4,1653072389531
Encyclopedia Brown and the Case of the Secret Pitch,Barclay,Avila,best ghost story I ever read.,5,1658992747222
Klara and the Sun,Barclay,Avila,My favorite book of all time,5,1654086235655
Math with Bad Drawings,Barclay,Avila,DNF,1,1661446940807
The Terraformers,Barclay,Avila,Spooky but fun,4,1708908867445
Alive at the End of the World,Barclay,Barry,best ghost story I ever read.,5,1684307100645
Ancillary Justice,Barclay,Barry,I really love this book,4,1687937781263
Chokepoint Capitalism,Barclay,Barry,Wow,3,1699432274972
Disappearing Earth,Barclay,Barry,So clearly written,3,1707519913958
Fire Watch,Barclay,Barry,Strongly recommend!,5,1660599008494
Dawn,Blythe,Joyner,So packed with clever ideas!,5,1685570676842
Gold Fame Citrus,Burton,Gardner,I’m never listening to Chadd’s recommendation again!,1,1666795273002
The Woman in Cabin 10,Burton,Gardner,I’m never listening to Chadd’s recommendation again!,1,1708724925179
Alive at the End of the World,Cadman,Ryan,:),2,1707845141374
Light Years from Home,Cadman,Ryan,better than no book,1,1690075452812
The Invitation,Cadman,Ryan,My favorite book of all time,5,1704563815191
Ancillary Justice,Carissa,Ford,Ok; a little slow in parts,2,1659046855683
Cloud Cuckoo Land,Carissa,Ford,This book got me through CS 445!,3,1709600153149
Alive at the End of the World,Carla,Casey,DNF,1,1683047955716
The City We Became,Carla,Casey,Wow,3,1684099132004
The Novelist,Carla,Casey,Spooky but fun,4,1707875307561
A Psalm for the Wild-Built,Chantale,Lopez,Wow,3,1652368345552
Everyone in My Family Has Killed Someone,Chantale,Lopez,I enjoyed this so much,4,1710127918099
Everyone on This Train Is a Suspect,Chantale,Lopez,This book got me through CS 445!,3,1659366279274
Null States,Chantale,Lopez,Mostly unbelievable but fun,2,1684905427897
The Echo Wife,Chantale,Lopez,Love it,3,1665095462875
Upright Women Wanted,Chantale,Lopez,Such a clever mystery,4,1692859628482
The Invitation,Dorothy,Riddle,Could not put it down,5,1709040810709
The Woman in Cabin 10,Dorothy,Riddle,I love semicolons!,3,1703809774244
A Short History of Nearly Everything,Edan,Curtis,A page turner!,4,1649540113473
Encyclopedia Brown Gets His Man,Edan,Curtis,My favorite book of all time,5,1700958021915
Holidays on Ice,Edan,Curtis,I really love this book,4,1668403187682
Red Paint,Edan,Curtis,Such a clever mystery,4,1702182745763
The Last Equation of Isaac Severy,Edan,Curtis,So packed with clever ideas!,5,1692086370696
The Paris Apartment,Edan,Curtis,Such a clever mystery,4,1676580153521
The Word Is Murder,Edan,Curtis,My favorite book of all time,5,1694090143360
The Nineties,Ella,Guerrero,:),2,1650408930351
Klara and the Sun,Emerald,Wilkerson,Such a clever mystery,4,1683593941244
Sign Here,Emerald,Wilkerson,DNF,1,1681312972619
The Turn of the Screw,Emerald,Wilkerson,A page turner!,4,1702163081143
Tomorrow Factory: Collected Fiction,Emerald,Wilkerson,Ok; a little slow in parts,2,1706624991465
Doomsday Book,Emi,Kim,better than no book,1,1700602872801
The Idol House of Astarte,Emi,Kim,I enjoyed this so much,4,1679166705826
Ancillary Justice,Emily,Merrill,So packed with clever ideas!,5,1663764531112
Astounding,Emily,Merrill,I really love this book,4,1707387890953
Dawn,Emily,Merrill,I enjoyed this so much,4,1660973979723
Demon Copperhead,Emily,Merrill,A page turner!,4,1658578124617
Filthy Animals,Emily,Merrill,Spooky but fun,4,1703081459818
Flowers for Algernon,Emily,Merrill,This book got me through CS 445!,3,1691836756724
The Book of Lost and Found,Emily,Merrill,My favorite book of all time,5,1674825556065
Upright Women Wanted,Emily,Merrill,Such a clever mystery,4,1661089372365
The Chocolate Touch,Emmanuel,Pace,Love it,3,1702760383262
